title,href,frequencies,email,categories
LBC,https://www.radio-uk.co.uk/lbc,London: 97.3 FM,Customer.Support@Global.com,Talk
talkSPORT,https://www.radio-uk.co.uk/talksport,London: 1089 AM,onairquery@talksport.co.uk,Sports
Smooth Radio London 102.2,https://www.radio-uk.co.uk/smooth-radio,London: 102.2 FM,Customer.Support@Global.com,Easy Listening
Gold Radio UK,https://www.radio-uk.co.uk/gold-radio-uk,London: DAB,picturedesk@global.com,"Classic Hits, Oldies"
Heart 80s,https://www.radio-uk.co.uk/heart-80s,London: DAB,Customer.Support@Global.com,80s
Greatest Hits Radio,https://www.radio-uk.co.uk/greatest-hits-radio,London: Online,theboss@greatesthitsradio.co.uk,"Classic Rock, Classic Hits, Pop Music"
Heart UK,https://www.radio-uk.co.uk/heart-uk,London: DAB,Customer.Support@Global.com,Hot AC
Capital London,https://www.radio-uk.co.uk/capital-fm,London: 95.8 FM,customer.support@global.com,Pop Music
talkRADIO,https://www.radio-uk.co.uk/talkradio,Manchester: Online,feedback@talksport.co.uk,Talk
Heart Dance,https://www.radio-uk.co.uk/heart-glasgow-1003,Glasgow: Online,Customer.Support@Global.com,Dance
BBC Radio 2,https://www.radio-uk.co.uk/bbc-radio-2,London: 89.1 FM,radio2enquiries@bbc.co.uk,Adult Contemporary
Radio X London,https://www.radio-uk.co.uk/radio-x,London: 104.9 FM,Customer.Support@Global.com,"Indie, Alternative Rock, Rock"
Capital Dance,https://www.radio-uk.co.uk/capital-dance,London: Online,customer.support@global.com,Dance
Smooth Radio UK,https://www.radio-uk.co.uk/smooth-radio-uk,London: DAB,Customer.Support@Global.com,Easy Listening
Classic FM,https://www.radio-uk.co.uk/classic-fm,"London: 100.9 FM,Tokyo: Online",Customer.Support@Global.com,Classical
Heart London 106.2,https://www.radio-uk.co.uk/heart-fm,London: 106.2 FM,customer.support@global.com,Hot AC
Heart 90s,https://www.radio-uk.co.uk/heart-90s,London: Online,Customer.Support@Global.com,90s
GB News Radio,https://www.radio-uk.co.uk/gb-news-radio,London: Online,,News
Nation Radio 80s,https://www.radio-uk.co.uk/nation-radio-uk,London: 96.3 FM,enquiries@nationradio.uk,80s
Vibes FM 93.8,https://www.radio-uk.co.uk/vibes-fm,London: 93.8 FM,info@vibesfm.net,Reggae
Times Radio,https://www.radio-uk.co.uk/times-radio,London: Online,studio@times.radio,
Virgin Radio UK,https://www.radio-uk.co.uk/virgin-radio-uk,London: DAB,feedback@virginradio.co.uk,"Rock, Dance, Pop Music"
